Venue,Events,Capacity,Status
Yves du Manoir Stadium,Field hockey,15000,Renovated
Stade de France,Rugby sevens,77083,Existing
Stade de France,Athletics (track and field),77083,Existing
Stade de France,Closing ceremony,77083,Existing
Paris La D̩fense Arena,"Aquatics (swimming, water polo finals)",15220,Existing
Porte de La Chapelle Arena,Badminton,8000,Built for the Games
Porte de La Chapelle Arena,Gymnastics (rhythmic),8000,Built for the Games
Paris Aquatic Centre[27][28],"Aquatics (water polo preliminaries, diving, artistic swimming)",5000,Built for the Games
Le Bourget Climbing Venue,Sport climbing,5000,Temporary
Arena Paris Nord,"Boxing (preliminaries, quarter-finals)",6000,Existing
Arena Paris Nord,Modern pentathlon (fencing),6000,ExistingYves du Manoir Stadium